,dataset,ssim_norm,ssim
129,ShanghaiTech_part_A,0.4697874188423157,0.2825208306312561
130,ShanghaiTech_part_A,0.8749427795410156,0.8747325539588928
131,ShanghaiTech_part_A,0.4865984320640564,0.37860924005508423
132,ShanghaiTech_part_A,0.6830547451972961,0.64894700050354
133,ShanghaiTech_part_A,0.8915438652038574,0.8910781145095825
134,ShanghaiTech_part_A,0.4026149809360504,0.2201063334941864
135,ShanghaiTech_part_A,0.7107500433921814,0.7057998180389404
136,ShanghaiTech_part_A,0.7568484544754028,0.722306489944458
137,ShanghaiTech_part_A,0.9448164701461792,0.9441919922828674
138,ShanghaiTech_part_A,0.43917959928512573,0.45800602436065674
139,ShanghaiTech_part_A,0.5457066297531128,0.5214695930480957
140,ShanghaiTech_part_A,0.5191481113433838,0.4782291054725647
141,ShanghaiTech_part_A,0.8713772892951965,0.8447480201721191
142,ShanghaiTech_part_A,0.7263983488082886,0.6036539673805237
143,ShanghaiTech_part_A,0.7250880599021912,0.5541480779647827
144,ShanghaiTech_part_A,0.7497707009315491,0.7712381482124329
145,ShanghaiTech_part_A,0.938606321811676,0.9273999333381653
146,ShanghaiTech_part_A,0.7906622886657715,0.5402668714523315
147,ShanghaiTech_part_A,0.44353753328323364,0.3724450170993805
148,ShanghaiTech_part_A,0.7685668468475342,0.637571394443512
149,ShanghaiTech_part_A,0.9354422092437744,0.9412754774093628
150,ShanghaiTech_part_A,0.7901236414909363,0.5857244729995728
151,ShanghaiTech_part_A,0.6415659785270691,0.702034592628479
152,ShanghaiTech_part_A,0.8532877564430237,0.8434479236602783
153,ShanghaiTech_part_A,0.8324135541915894,0.8351259231567383
154,ShanghaiTech_part_A,0.2920924723148346,0.0962136834859848
155,ShanghaiTech_part_A,0.7749453186988831,0.7164711952209473
156,ShanghaiTech_part_A,0.8689072132110596,0.8876205682754517
157,ShanghaiTech_part_A,0.6399684548377991,0.3925286829471588
158,ShanghaiTech_part_A,0.8158183693885803,0.8069508075714111
159,ShanghaiTech_part_A,0.9100555777549744,0.8934582471847534
160,ShanghaiTech_part_A,0.40585142374038696,0.09538664668798447
161,ShanghaiTech_part_A,0.550512969493866,0.45124274492263794
162,ShanghaiTech_part_A,0.6224486827850342,0.13366471230983734
163,ShanghaiTech_part_A,0.6811515688896179,0.5847128629684448
164,ShanghaiTech_part_A,0.6789910197257996,0.3219480812549591
165,ShanghaiTech_part_A,0.9539218544960022,0.9612720608711243
166,ShanghaiTech_part_A,0.5501035451889038,0.2677052617073059
167,ShanghaiTech_part_A,0.18597498536109924,0.0726582333445549
168,ShanghaiTech_part_A,0.8438933491706848,0.7565475702285767
169,ShanghaiTech_part_A,0.7990313172340393,0.747485339641571
170,ShanghaiTech_part_A,0.6437492966651917,0.565906822681427
171,ShanghaiTech_part_A,0.8489280939102173,0.8585754036903381
172,ShanghaiTech_part_A,0.4585183560848236,0.1233108639717102
173,ShanghaiTech_part_A,0.28862443566322327,0.20064926147460938
174,ShanghaiTech_part_A,0.786666750907898,0.7889478802680969
175,ShanghaiTech_part_A,0.7351786494255066,0.7296363115310669
176,ShanghaiTech_part_A,0.7621931433677673,0.5384628772735596
177,ShanghaiTech_part_A,0.8469143509864807,0.803525447845459
178,ShanghaiTech_part_A,0.8364958167076111,0.7290371060371399
179,ShanghaiTech_part_A,0.6788714528083801,0.5966507196426392
180,ShanghaiTech_part_A,0.505134105682373,0.20187844336032867
181,ShanghaiTech_part_A,0.7364104986190796,0.6737073063850403
182,ShanghaiTech_part_B,0.7893587946891785,0.817165732383728
183,ShanghaiTech_part_B,0.7274592518806458,0.5315088629722595
184,ShanghaiTech_part_B,0.6970328092575073,0.7159555554389954
185,ShanghaiTech_part_B,0.532268226146698,0.574787974357605
186,ShanghaiTech_part_B,0.7652648687362671,0.7626618146896362
187,ShanghaiTech_part_B,0.7166121006011963,0.7218063473701477
188,ShanghaiTech_part_B,0.7800110578536987,0.773342490196228
189,ShanghaiTech_part_B,0.8354945778846741,0.8563807010650635
190,ShanghaiTech_part_B,0.7171164751052856,0.7152758240699768
191,ShanghaiTech_part_B,0.8436203002929688,0.8590877652168274
192,ShanghaiTech_part_B,0.5782198309898376,0.5454541444778442
193,ShanghaiTech_part_B,0.9582929611206055,0.9582275152206421
194,ShanghaiTech_part_B,0.8267920017242432,0.8516978621482849
195,ShanghaiTech_part_B,0.7998080849647522,0.8193573355674744
196,ShanghaiTech_part_B,0.7986560463905334,0.8304579257965088
197,ShanghaiTech_part_B,0.7419618964195251,0.7752571702003479
198,ShanghaiTech_part_B,0.45950987935066223,0.4044847786426544
199,ShanghaiTech_part_B,0.8855299949645996,0.9009833335876465
200,ShanghaiTech_part_B,0.8755884766578674,0.8112490773200989
201,ShanghaiTech_part_B,0.9128485918045044,0.9179390668869019
202,ShanghaiTech_part_B,0.7995325922966003,0.7754908204078674
203,ShanghaiTech_part_B,0.938197672367096,0.9371203780174255
204,ShanghaiTech_part_B,0.7141681909561157,0.7375079989433289
